idle_CPU_usage,peak_CPU_usage,avg_throughput_TPS,peak_throughput_TPS,RAM_size_GB
-1.0046989646986333,-1.2500175537495006,-1.6194071578441227,-5.628298834684609,-1.3330681595382234
-0.8068370241671738,-1.1064061545633446,-1.0438831755620102,-5.636163940275689,-1.1294095553315093
-0.9387449845214801,-0.9627947553771883,-1.046986266366834,-6.656658826910088,-1.3079055765111127
1.1058284009702681,0.8562829676474568,-1.9162764955680989,-7.069776917827026,-1.1632897569911156
-1.0046989646986333,0.9520239004382277,-1.4521244103722422,-6.941189683230133,-1.1133995962638477
-1.0706529448757867,0.9998943668336132,-1.15497173278131,-7.032520009690471,-1.2195652483520185
0.9739204406159616,1.0477648332289986,-1.180874634374295,-5.650918428937053,-1.1632897569911156
0.6441505397301959,-0.9627947553771883,-1.5227430436126008,-5.6896294587780005,-1.3079055765111127
1.0398744207931148,-0.9149242889818028,-1.1887008503772292,-6.98176698265074,-1.284103814830532
-0.9387449845214801,-1.1064061545633446,-1.5803996918805683,-5.637257039744005,-1.3079055765111127
-1.202560905230093,1.143505766019769,-1.39567072032221,-5.654907193698397,-1.3330681595382234
0.8420124802616555,1.1913762324151544,-1.2949681592852604,-7.0952840825015375,-1.3330681595382234
1.0398744207931148,-1.15427662095873,-1.3219052873892494,-7.217552583776769,-1.1460238046176758
-0.8727910043443271,-1.3457584865402714,-1.1353051541452803,-7.025970480175088,-1.3079055765111127
-0.9387449845214801,-0.38834915863256353,-1.341328215499618,-5.674723725689622,-1.2615232060967974
1.0398744207931148,0.6648011020659151,-1.2509286209729789,-5.722273145460418,-1.284103814830532
-1.0706529448757867,-0.8670538225864174,-1.2204748114337167,-7.134468412689459,-1.2400445387520846
-0.9387449845214801,1.0477648332289986,-1.1566394234630375,-7.0389746990282545,-1.1460238046176758
1.1058284009702681,1.1913762324151544,-1.1035504684444726,-5.617799435964899,-1.097951507540559
0.7101045199073491,1.2392466988105397,-1.2026227917710066,-5.61850330543689,-1.1632897569911156
-1.0706529448757867,-0.3404786922371781,-1.2180861292447387,-7.050088925737818,-1.1999964553914229
-1.202560905230093,1.0956352996243834,-1.0462037171822811,-5.680050699684587,-1.1999964553914229
-1.202560905230093,-0.9627947553771883,-1.5741272549234575,-7.141125047067574,-1.2615232060967974
0.9079664604388084,-0.9627947553771883,-1.1991087454043075,-5.7421140332783285,-1.284103814830532
-1.0046989646986333,-1.393628952935657,-1.2881642370326325,-7.110753196655027,-1.2400445387520846
0.9739204406159616,-1.1064061545633446,-1.186671388387477,-5.654810950402509,-1.3881681485850343
-0.8727910043443271,0.7126715684613005,-1.2249393157450086,-6.897867268849969,-1.2195652483520185
-0.9387449845214801,-1.2978880201448861,-1.2796228716493594,-7.019941331089081,-1.1812606340228757
1.1717823811474213,1.2392466988105397,-1.064807362682735,-7.106056116475168,-1.2615232060967974
1.0398744207931148,1.3349876316013107,-1.2945240255961301,-5.593744885821349,-1.1999964553914229
1.0398744207931148,-0.9627947553771883,-1.3277197731433572,-6.967009713611359,-1.284103814830532
1.3036903415017274,-0.6277014906094908,-1.0556450749885193,-5.720107551995959,-1.1460238046176758
-1.0706529448757867,-0.5798310242141053,-1.2652128689518383,-7.102283336788028,-1.1632897569911156
